Video	t_beg_sound	t_end_noun	t_end_pp	t_end_sound	sentence
female10-stat-left.avi	0.29	0.72	1.08	1.44	Tristan a écrit un roman
female11-stat-left.avi	0.4	0.82	1.52	2.18	Alexia a participé à un championnat
female12-stat-left.avi	0.29	0.63	1.06	1.6	Margo a nettoyé les toilettes
female13-stat-left.avi	0.37	0.76	1.1	1.6	Roxane a conduit la voiture
female14-stat-left.avi	0.37	0.76	1.2	1.6	Bastien a prêté le vélo
female15-stat-left.avi	0.24	0.61	1.04	1.3	David a préparé du riz
female16-stat-left.avi	0.4	0.67	1	1.53	Hugo a vendu la guitare
female17-incr-right.avi	0.26	0.67	1.06	1.56	Adeline a porté une robe
female18-happ-left.avi	0.61	0.9	1.16	1.7	Corine a joué au théatre
female19-incr-right.avi	0.48	0.905	1.15	1.67	Christine a fait un gateau
female20-sad-right.avi	0.27	0.5	0.82	1.27	Marie a quitté la ville
female21-incr-right.avi	0.4	0.85	1.28	1.97	Jorgie a regardé un film
female22-incr-right.avi	0.38	0.63	1.17	1.8	Claire a repassé une chemise
female23-happ-left.avi	0.32	0.68	1	1.6	Maurice a changé son travail
female24-incr-right.avi	0.155	0.61	0.95	1.33	Chantal a acheté une maison
female25-happ-left.avi	0.55	0.9	1.21	1.7	Pascal a appelé son cousin
female26-incr-right.avi	0.247	0.62	0.86	1.19	Monique a pris l'avion
female27-happ-left.avi	0.299	0.59	0.786	1.393	Carole était à la gare
female28-incr-right.avi	0.234	0.8	1.23	1.6	Virginie a adopté un chat
female29-happ-left.avi	0.23	0.54	0.92	1.42	Amélie m'a offert la guitare
Female2-stat-left.avi	0.51	0.73	1.2	1.78	Claire a repassé une chemise
female30-incr-right.avi	0.336	0.76	1.36	1.79	Marion a organisé une fête
female31incr-right.avi	0.322	0.73	1.297	1.89	Alexia a participé au championnat
female32-fear-right.avi	0.788	1.05	1.4	2.02	Lola est monté sur le toit
female33-sad-right.avi	0.506	0.85	1.34	1.82	Bastien s'en est allé de la maison
female34-incr-right.avi	0.283	0.68	1.11	1.726	Margo a nettoyé les toilettes
female35-fear-right.avi	0.33	0.73	1.06	1.83	Cécile est sortie avec un homme brun
female36-incr-right.avi	0.23	0.645	0.99	1.4	Tristan a écrit un roman
female37happ-left.avi	0.455	0.69	1.102	1.508	Annie m'a montré les photos
female38-incr-right.avi	0.254	0.71	1.08	1.6	Roxane a conduit la voiture
female39sad-right.avi	0.27	0.68	1.19	1.78	Daniel m'a annoncé les résultats
female3-stat-left.avi	0.38	0.73	1	1.36	Christine a fait un gateau
female40-fear-right.avi	0.51	0.99	1.24	1.795	Floriane a joué au tennis
female41-incr-right.avi	0.37	0.82	1.18	1.47	Bastien a prêté le vélo
female42-fear-right.avi	0.52	0.83	1.16	1.7	Audrey a passé des examens
female43-incr-right.avi	0.37	0.76	1.17	1.7	Nadine a commandé de la viande
female44-fear-right.avi	0.39	0.76	1.21	1.8	Cédric m'a demandé un rendez-vous
female45-sad-right.avi	0.84	1.26	1.71	2.66	Céline a obtenu un emploi en Asie
female46-fear-right.avi	0.67	0.96	1.48	2.07	Nadine a consulté un avocat
female47-incr-right.avi	0.56	0.93	1.35	1.675	David a préparé du riz
female48-sad-right.avi	0.49	0.87	1.27	1.97	Denise a parlé à son petit ami
female49-happ-left.avi	0.595	0.75	1.25	1.69	Eve va téléphoné à John
female4-stat-left.avi	0.3	0.7	1.1	1.6	Jorgie a regardé un film
female50-fear-right.avi	0.71	1.06	1.42	2.15	Alban a ramené un chien à la maison
female51-incr-right.avi	0.56	0.87	1.21	1.78	Hugo a vendu la guitare
female52-fear-right.avi	0.32	0.695	0.895	1.37	Robert a fait un pari
female53-sad-right.avi	0.49	1.06	1.73	2.3	Vincent a anticipé sa rentrée
female54-sad-right.avi	0.21	0.46	0.64	1.13	Ambre a lu la lettre
female55-happ-left.avi	0.33	0.58	0.92	1.4	Alain est venu à la fête
female56-sad-right.avi	0.5	0.795	1.25	1.83	Jeanne a accepté sa décision
female58-anger-left.avi	0.26	0.57	0.75	1.41	Serge a pris mon téléphone
female59-anger-left.avi	0.33	0.73	0.92	1.4	Marion était au bar
female5-stat-left.avi	0.32	0.78	1.06	1.45	Chantal a acheté une maison
female60-anger-left.avi	0.51	0.99	1.26	1.77	Gustave a été au stade
